,Name,Price,Team 1,Position,Round,Team 2,Date,Score,id,pl_pos_id,is_selected
129,Ben Cunnington,503000,Kangaroos,MI,22,Swans,Sat 14 Aug 12:00pm,61.18181818181818,R:22_P:Ben Cunnington,R:22_P:Ben Cunnington_MI,1
130,Ben Cunnington,503000,Kangaroos,MI,5,Cats,Sun 18 Apr 4:40pm,65.63636363636364,R:5_P:Ben Cunnington,R:5_P:Ben Cunnington_MI,1
131,Ben Cunnington,503000,Kangaroos,MI,16,Bulldogs,Sat 3 Jul 12:00pm,75.36363636363636,R:16_P:Ben Cunnington,R:16_P:Ben Cunnington_MI,1
132,Ben Cunnington,503000,Kangaroos,MI,17,Eagles,Sat 10 Jul 12:00pm,69.81818181818181,R:17_P:Ben Cunnington,R:17_P:Ben Cunnington_MI,1
133,Ben Cunnington,503000,Kangaroos,MI,19,Blues,Sat 24 Jul 12:00pm,62.54545454545455,R:19_P:Ben Cunnington,R:19_P:Ben Cunnington_MI,1
134,Ben Cunnington,503000,Kangaroos,MI,21,Tigers,Sat 7 Aug 12:00pm,72.36363636363636,R:21_P:Ben Cunnington,R:21_P:Ben Cunnington_MI,1
135,Ben Cunnington,503000,Kangaroos,MI,23,Crows,Sat 21 Aug 12:00pm,72.72727272727273,R:23_P:Ben Cunnington,R:23_P:Ben Cunnington_MI,1
136,Patrick Ryder,575000,Saints,RU,9,Cats,Sat 15 May 12:00pm,68.2,R:9_P:Patrick Ryder,R:9_P:Patrick Ryder_RU,1
137,Patrick Ryder,575000,Saints,RU,11,Kangaroos,Sat 29 May 12:00pm,67.45454545454545,R:11_P:Patrick Ryder,R:11_P:Patrick Ryder_RU,1
138,Patrick Ryder,575000,Saints,RU,12,Swans,Sat 5 Jun 12:00pm,66.3,R:12_P:Patrick Ryder,R:12_P:Patrick Ryder_RU,1
139,Patrick Ryder,575000,Saints,RU,13,Crows,Sat 12 Jun 12:00pm,75.7,R:13_P:Patrick Ryder,R:13_P:Patrick Ryder_RU,1
140,Patrick Ryder,575000,Saints,RU,18,Power,Sat 17 Jul 12:00pm,86.7,R:18_P:Patrick Ryder,R:18_P:Patrick Ryder_RU,1
141,Patrick Ryder,575000,Saints,RU,10,Bulldogs,Sat 22 May 12:00pm,63.35,R:10_P:Patrick Ryder,R:10_P:Patrick Ryder_RU,1
142,Patrick Ryder,575000,Saints,RU,15,Tigers,Sat 26 Jun 12:00pm,49.45,R:15_P:Patrick Ryder,R:15_P:Patrick Ryder_RU,1
143,Patrick Ryder,575000,Saints,RU,16,Magpies,Sat 3 Jul 12:00pm,64.9,R:16_P:Patrick Ryder,R:16_P:Patrick Ryder_RU,1
144,Patrick Ryder,575000,Saints,RU,17,Lions,Sat 10 Jul 12:00pm,65.5,R:17_P:Patrick Ryder,R:17_P:Patrick Ryder_RU,1
145,Callum Wilkie,459000,Saints,DE,18,Power,Sat 17 Jul 12:00pm,49.0,R:18_P:Callum Wilkie,R:18_P:Callum Wilkie_DE,1
146,Callum Wilkie,459000,Saints,DE,20,Blues,Sat 31 Jul 12:00pm,68.0,R:20_P:Callum Wilkie,R:20_P:Callum Wilkie_DE,1
147,Callum Wilkie,459000,Saints,DE,23,Dockers,Sat 21 Aug 12:00pm,53.5,R:23_P:Callum Wilkie,R:23_P:Callum Wilkie_DE,1
148,Callum Wilkie,459000,Saints,DE,17,Lions,Sat 10 Jul 12:00pm,59.0,R:17_P:Callum Wilkie,R:17_P:Callum Wilkie_DE,1
149,Callum Wilkie,459000,Saints,DE,19,Eagles,Sat 24 Jul 12:00pm,53.0,R:19_P:Callum Wilkie,R:19_P:Callum Wilkie_DE,1
150,Callum Wilkie,459000,Saints,DE,21,Swans,Sat 7 Aug 12:00pm,62.0,R:21_P:Callum Wilkie,R:21_P:Callum Wilkie_DE,1
151,Callum Wilkie,459000,Saints,DE,22,Cats,Sat 14 Aug 12:00pm,46.5,R:22_P:Callum Wilkie,R:22_P:Callum Wilkie_DE,1
152,Jarryn Geary,382000,Saints,DE,11,Kangaroos,Sat 29 May 12:00pm,61.333333333333336,R:11_P:Jarryn Geary,R:11_P:Jarryn Geary_DE,1
153,Jarryn Geary,382000,Saints,DE,12,Swans,Sat 5 Jun 12:00pm,30.363636363636363,R:12_P:Jarryn Geary,R:12_P:Jarryn Geary_DE,1
154,Jarryn Geary,382000,Saints,DE,13,Crows,Sat 12 Jun 12:00pm,38.0,R:13_P:Jarryn Geary,R:13_P:Jarryn Geary_DE,1
155,Jarryn Geary,382000,Saints,DE,10,Bulldogs,Sat 22 May 12:00pm,52.95454545454545,R:10_P:Jarryn Geary,R:10_P:Jarryn Geary_DE,1
156,Jarryn Geary,382000,Saints,DE,15,Tigers,Sat 26 Jun 12:00pm,55.90909090909091,R:15_P:Jarryn Geary,R:15_P:Jarryn Geary_DE,1
157,Jarryn Geary,382000,Saints,DE,16,Magpies,Sat 3 Jul 12:00pm,56.54545454545455,R:16_P:Jarryn Geary,R:16_P:Jarryn Geary_DE,1
158,Dylan Roberton,170000,Saints,DE,2,Demons,Sat 27 Mar 7:25pm,46.45454545454545,R:2_P:Dylan Roberton,R:2_P:Dylan Roberton_DE,1
159,Dylan Roberton,170000,Saints,DE,4,Eagles,Sat 10 Apr 4:35pm,45.18181818181818,R:4_P:Dylan Roberton,R:4_P:Dylan Roberton_DE,1
160,Dylan Roberton,170000,Saints,DE,5,Tigers,Thu 15 Apr 7:20pm,33.09090909090909,R:5_P:Dylan Roberton,R:5_P:Dylan Roberton_DE,1
