,id,pl_pos_id,Round,Position,is_selected
277,R:11_P:Neville Jetta,R:11_P:Neville Jetta_DE,11,DE,1
278,R:22_P:Neville Jetta,R:22_P:Neville Jetta_DE,22,DE,1
279,R:10_P:Neville Jetta,R:10_P:Neville Jetta_DE,10,DE,1
280,R:2_P:Neville Jetta,R:2_P:Neville Jetta_DE,2,DE,1
281,R:7_P:Neville Jetta,R:7_P:Neville Jetta_DE,7,DE,1
282,R:15_P:Neville Jetta,R:15_P:Neville Jetta_DE,15,DE,1
283,R:17_P:Neville Jetta,R:17_P:Neville Jetta_DE,17,DE,1
284,R:19_P:Neville Jetta,R:19_P:Neville Jetta_DE,19,DE,1
285,R:21_P:Neville Jetta,R:21_P:Neville Jetta_DE,21,DE,1
286,R:1_P:Bayley Fritsch,R:1_P:Bayley Fritsch_FO,1,FO,1
287,R:4_P:Bayley Fritsch,R:4_P:Bayley Fritsch_FO,4,FO,1
288,R:23_P:Bayley Fritsch,R:23_P:Bayley Fritsch_FO,23,FO,1
289,R:6_P:Bayley Fritsch,R:6_P:Bayley Fritsch_FO,6,FO,1
290,R:8_P:Bayley Fritsch,R:8_P:Bayley Fritsch_FO,8,FO,1
291,R:9_P:Bayley Fritsch,R:9_P:Bayley Fritsch_FO,9,FO,1
292,R:12_P:Bayley Fritsch,R:12_P:Bayley Fritsch_FO,12,FO,1
293,R:13_P:Bayley Fritsch,R:13_P:Bayley Fritsch_FO,13,FO,1
294,R:16_P:Bayley Fritsch,R:16_P:Bayley Fritsch_FO,16,FO,1
295,R:3_P:Bayley Fritsch,R:3_P:Bayley Fritsch_FO,3,FO,1
296,R:18_P:Bayley Fritsch,R:18_P:Bayley Fritsch_FO,18,FO,1
297,R:5_P:Bayley Fritsch,R:5_P:Bayley Fritsch_FO,5,FO,1
298,R:20_P:Bayley Fritsch,R:20_P:Bayley Fritsch_FO,20,FO,1
299,R:11_P:Bayley Fritsch,R:11_P:Bayley Fritsch_FO,11,FO,1
300,R:22_P:Bayley Fritsch,R:22_P:Bayley Fritsch_FO,22,FO,1
301,R:10_P:Bayley Fritsch,R:10_P:Bayley Fritsch_FO,10,FO,1
302,R:2_P:Bayley Fritsch,R:2_P:Bayley Fritsch_FO,2,FO,1
303,R:7_P:Bayley Fritsch,R:7_P:Bayley Fritsch_FO,7,FO,1
304,R:15_P:Bayley Fritsch,R:15_P:Bayley Fritsch_FO,15,FO,1
305,R:17_P:Bayley Fritsch,R:17_P:Bayley Fritsch_FO,17,FO,1
306,R:19_P:Bayley Fritsch,R:19_P:Bayley Fritsch_FO,19,FO,1
307,R:21_P:Bayley Fritsch,R:21_P:Bayley Fritsch_FO,21,FO,1
308,R:1_P:Mitchell Brown,R:1_P:Mitchell Brown_FO,1,FO,1
309,R:4_P:Mitchell Brown,R:4_P:Mitchell Brown_FO,4,FO,1
310,R:23_P:Mitchell Brown,R:23_P:Mitchell Brown_FO,23,FO,1
311,R:6_P:Mitchell Brown,R:6_P:Mitchell Brown_FO,6,FO,1
312,R:8_P:Mitchell Brown,R:8_P:Mitchell Brown_FO,8,FO,1
313,R:9_P:Mitchell Brown,R:9_P:Mitchell Brown_FO,9,FO,1
314,R:12_P:Mitchell Brown,R:12_P:Mitchell Brown_FO,12,FO,1
315,R:13_P:Mitchell Brown,R:13_P:Mitchell Brown_FO,13,FO,1
316,R:16_P:Mitchell Brown,R:16_P:Mitchell Brown_FO,16,FO,1
317,R:3_P:Mitchell Brown,R:3_P:Mitchell Brown_FO,3,FO,1
318,R:18_P:Mitchell Brown,R:18_P:Mitchell Brown_FO,18,FO,1
319,R:5_P:Mitchell Brown,R:5_P:Mitchell Brown_FO,5,FO,1
320,R:20_P:Mitchell Brown,R:20_P:Mitchell Brown_FO,20,FO,1
321,R:11_P:Mitchell Brown,R:11_P:Mitchell Brown_FO,11,FO,1
322,R:22_P:Mitchell Brown,R:22_P:Mitchell Brown_FO,22,FO,1
323,R:10_P:Mitchell Brown,R:10_P:Mitchell Brown_FO,10,FO,1
324,R:2_P:Mitchell Brown,R:2_P:Mitchell Brown_FO,2,FO,1
325,R:7_P:Mitchell Brown,R:7_P:Mitchell Brown_FO,7,FO,1
326,R:15_P:Mitchell Brown,R:15_P:Mitchell Brown_FO,15,FO,1
327,R:17_P:Mitchell Brown,R:17_P:Mitchell Brown_FO,17,FO,1
328,R:19_P:Mitchell Brown,R:19_P:Mitchell Brown_FO,19,FO,1
329,R:21_P:Mitchell Brown,R:21_P:Mitchell Brown_FO,21,FO,1
330,R:1_P:Nathan Jones,R:1_P:Nathan Jones_FO,1,FO,1
331,R:1_P:Nathan Jones,R:1_P:Nathan Jones_MI,1,MI,1
332,R:4_P:Nathan Jones,R:4_P:Nathan Jones_FO,4,FO,1
333,R:23_P:Nathan Jones,R:23_P:Nathan Jones_FO,23,FO,1
334,R:4_P:Nathan Jones,R:4_P:Nathan Jones_MI,4,MI,1
335,R:23_P:Nathan Jones,R:23_P:Nathan Jones_MI,23,MI,1
336,R:6_P:Nathan Jones,R:6_P:Nathan Jones_FO,6,FO,1
337,R:6_P:Nathan Jones,R:6_P:Nathan Jones_MI,6,MI,1
338,R:8_P:Nathan Jones,R:8_P:Nathan Jones_FO,8,FO,1
339,R:8_P:Nathan Jones,R:8_P:Nathan Jones_MI,8,MI,1
340,R:9_P:Nathan Jones,R:9_P:Nathan Jones_FO,9,FO,1
341,R:9_P:Nathan Jones,R:9_P:Nathan Jones_MI,9,MI,1
342,R:12_P:Nathan Jones,R:12_P:Nathan Jones_FO,12,FO,1
343,R:12_P:Nathan Jones,R:12_P:Nathan Jones_MI,12,MI,1
344,R:13_P:Nathan Jones,R:13_P:Nathan Jones_FO,13,FO,1
