,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
141,Dylan Roberton,170000,Saints,DE,20,Blues,30.818181818181817,R:20_P:Dylan Roberton,R:20_P:Dylan Roberton_DE,1
142,Dylan Roberton,170000,Saints,DE,23,Dockers,34.90909090909091,R:23_P:Dylan Roberton,R:23_P:Dylan Roberton_DE,1
143,Dylan Roberton,170000,Saints,DE,1,Giants,36.36363636363637,R:1_P:Dylan Roberton,R:1_P:Dylan Roberton_DE,1
144,Dylan Roberton,170000,Saints,DE,8,Suns,34.54545454545455,R:8_P:Dylan Roberton,R:8_P:Dylan Roberton_DE,1
145,Dylan Roberton,170000,Saints,DE,10,Bulldogs,39.59090909090909,R:10_P:Dylan Roberton,R:10_P:Dylan Roberton_DE,1
146,Dylan Roberton,170000,Saints,DE,16,Magpies,40.72727272727273,R:16_P:Dylan Roberton,R:16_P:Dylan Roberton_DE,1
147,Dylan Roberton,170000,Saints,DE,19,Eagles,45.18181818181818,R:19_P:Dylan Roberton,R:19_P:Dylan Roberton_DE,1
148,Dylan Roberton,170000,Saints,DE,21,Swans,34.54545454545455,R:21_P:Dylan Roberton,R:21_P:Dylan Roberton_DE,1
149,Tom McCartin,366000,Swans,FO,11,Blues,56.333333333333336,R:11_P:Tom McCartin,R:11_P:Tom McCartin_FO,1
150,Tom McCartin,366000,Swans,FO,13,Hawks,46.0,R:13_P:Tom McCartin,R:13_P:Tom McCartin_FO,1
151,Tom McCartin,366000,Swans,FO,12,Saints,53.666666666666664,R:12_P:Tom McCartin,R:12_P:Tom McCartin_FO,1
152,Aaron Naughton,371000,Bulldogs,FO,21,Bombers,62.666666666666664,R:21_P:Aaron Naughton,R:21_P:Aaron Naughton_FO,1
153,Aaron Naughton,371000,Bulldogs,FO,22,Hawks,60.333333333333336,R:22_P:Aaron Naughton,R:22_P:Aaron Naughton_FO,1
